Id,Type
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/120.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/121.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/122.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/123.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/124.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/125.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/126.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/127.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/128.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/129.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/13.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/130.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/131.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/132.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/133.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/134.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/135.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/136.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/137.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/138.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/139.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/14.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/140.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/141.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/142.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/143.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/144.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/145.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/146.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/147.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/148.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/149.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/15.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/150.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/151.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/152.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/153.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/154.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/155.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/156.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/157.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/158.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/159.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/16.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/160.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/161.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/162.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/163.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/164.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/165.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/166.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/167.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/168.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/169.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/17.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/170.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/171.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/172.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/173.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/174.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/175.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/176.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/177.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/178.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/179.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/18.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/180.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/181.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/182.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/183.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/184.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/185.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/186.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/187.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/188.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/189.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/19.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/190.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/191.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/192.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/193.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/194.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/195.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/196.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/197.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/198.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/199.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/2.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/20.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/200.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/201.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/202.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/203.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/204.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/205.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/206.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/207.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/208.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/209.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/21.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/210.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/211.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/212.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/213.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/214.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/215.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/216.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/217.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/218.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/219.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/22.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/220.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/221.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/222.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/223.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/224.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/225.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/226.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/227.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/228.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/229.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/23.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/230.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/231.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/232.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/233.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/234.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/235.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/236.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/237.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/238.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/239.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/24.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/240.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/241.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/242.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/243.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/244.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/245.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/246.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/247.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/248.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/249.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/25.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/250.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/251.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/252.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/253.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/254.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/255.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/256.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/257.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/258.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/259.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/26.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/260.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/261.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/262.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/263.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/264.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/265.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/266.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/267.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/268.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/269.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/27.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/270.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/271.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/272.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/273.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/274.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/275.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/276.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/277.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/278.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/279.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/28.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/280.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/281.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/282.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/283.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/284.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/285.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/286.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/287.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/288.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/289.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/29.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/290.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/291.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/292.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/293.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/294.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/295.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/296.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/297.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/298.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/299.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/3.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/30.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/300.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/301.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/302.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/303.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/304.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/305.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/306.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/307.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/308.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/309.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/31.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/310.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/311.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/312.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/313.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/314.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/315.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/316.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/317.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/318.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/319.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/32.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/320.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/321.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/322.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/323.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/324.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/325.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/326.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/327.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/328.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/329.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/33.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/330.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/331.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/332.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/333.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/334.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/335.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/336.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/337.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/338.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/339.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/34.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/340.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/341.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/342.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/343.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/344.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/345.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/346.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/347.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/348.jpg,Glioma
D:\Degree\BrainTumor_Impl\datasets\dataset1_cropped\Training/Glioma/349.jpg,Glioma
